state,x,y
Jammu Kashmir,-134.0,322.0
Himachal Pradesh,-125.0,225.0
Punjab,-170.0,216.0
Uttarkhand,-79.0,186.0
Rajasthan,-219.0,110.0
Haryana,-154.0,165.0
Uttar Pradesh,-70.0,135.0
Bihar,101.0,61.0
Madhya Pradesh,-116.0,3.0
Gujarat,-268.0,-1.0
Maharastra,-174.0,-100.0
Karnataka,-164.0,-194.0
Kerala,-148.0,-346.0
Tamil Nadu,-104.0,-319.0
Andra Pradesh,-88.0,-210.0
Telungana,-86.0,-147.0
Odisha,48.0,-73.0
Chattisgar,-13.0,-56.0
Jharkhand,69.0,1.0
West Bengal,141.0,-6.0
Sikkim,153.0,116.0
Assam,248.0,86.0
Meghalaya,230.0,62.0
Arunachal Pradesh,308.0,128.0
Nagaland,306.0,72.0
Manipur,295.0,38.0
Mizoram,263.0,9.0
Tripura,232.0,7.0
